asset_id,idModulo,titulo,unidad
170240,669883,Desafío: La gravedad,CN_10_03_CO
170308,669897,Desafío: La estructura de la materia,CN_10_10_CO
170382,669912,Desafío: La gravedad,CN_10_17_CO
170452,669928,Desafío: El universo,CS_06_07_CO
170589,669945,Desafío: El clima: factores y elementos,CS_06_11_CO
170659,669956,Desafío: La península Ibérica en la Alta Edad Media,CS_07_01_CO
171195,670056,Desafío: La especie humana y el medio natural,CS_11_07_CO
171076,670032,Desafío: El mundo reciente entre los siglos XX y XXI,CS_10_01_CO
170951,670008,Desafío: El período de entreguerras,CS_09_02_CO
170804,669978,Desafío: La Europa del siglo XVIII,CS_07_04_CO
171001,670015,Desafío: La Segunda Guerra Mundial,CS_09_05_CO
171144,670046,Desafío: La Segunda Guerra Mundial,CS_11_01_CO
170887,669995,Desafío: La sociedad industrial y sus ideologías,CS_08_06_CO
170718,669963,Desafío: La Plena Edad Media (siglos XI-XIII),CS_07_02_CO
170847,669984,Desafío: La era de las revoluciones liberales,CS_08_01_CO
170923,670003,Desafío: La revolución industrial y el primer capitalismo,CS_09_01_CO
170692,669961,Desafío: La península Ibérica en la Baja Edad Media,CS_07_02_CO
170772,669973,Desafío: Las monarquías autoritarias y los Imperios (siglo XVI),CS_07_03_CO
170962,670009,Desafío: La Segunda Guerra Mundial,CS_09_02_CO
170679,669960,Desafío: La Baja Edad Media (siglos XIV-XV),CS_07_02_CO
170731,669964,Desafío: Los inicios de la historia moderna (siglo XV),CS_07_02_CO
170870,669991,Desafío: La revolución industrial y el primer capitalismo,CS_08_05_CO
170705,669962,Desafío: La península Ibérica en la Plena Edad Media,CS_07_02_CO
171051,670027,Desafío: La población en el mundo,CS_09_10_CO
170791,669977,Desafío: Las monarquías autoritarias y los Imperios (siglo XVI),CS_07_04_CO
