Nombre recurso;LOID;ID;idGuion;identificadorUnidad;module_id;asset_id;Página;Tipo;Enlace;Texto principal - original;Texto adicional - original;Texto principal;Texto adicional
Desafío: El calor y la temperatura;CN_08_09_LM_Recurso290;132004;15152;FQ_08_NX_LL;628750;137786;Escoge tu camino;Enlace;http://albaida-ccnn.blogspot.com/2017/05/actividades-calor-y-temperatura.html;Calor y temperatura;, vídeos y actividades en el blog Con-Ciencia.;Calor y temperatura;, vídeos y actividades en el blog Con-Ciencia.
Desafío: El calor y la temperatura;CN_08_09_LM_Recurso290;132004;15152;FQ_08_NX_LL;628750;137786;Escoge tu camino;Inglés;http://www.physicstutorials.org/home/heat-temperature-and-thermal-expansion/heat-and-heat-vs-temperature;Heat and heat vs. Temperature;, artículo para comprender la diferencia entre el calor y la temperatura, y conocer los efectos del calor, de Physics Tutorials.org.;Heat and heat vs. Temperature;, artículo para comprender la diferencia entre el calor y la temperatura, y conocer los efectos del calor, de Physics Tutorials.org.
Desafío: El calor y la temperatura;CN_08_09_LM_Recurso290;132004;15152;FQ_08_NX_LL;628750;137786;Ve más allá;Lista;;Desengáñate, el frío no existe;;<em>Desengáñate, el frío no existe</em>;
Desafío: El calor y la temperatura;CN_08_09_LM_Recurso290;132004;15152;FQ_08_NX_LL;628750;137786;Ve más allá;Lista;;Prepárate para la ola de calor;;<em>Prepárate para la ola de calor</em>;
Desafío: El calor y la temperatura;CN_08_09_LM_Recurso290;132004;15152;FQ_08_NX_LL;628750;137786;Meta;Título;;Ahora que seguramente has averiguado si existe o no el calor, ¿serás capaz de superar la última prueba?;;Ahora que seguramente has averiguado si existe o no el calor, ¿serás capaz de superar la última prueba?;
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;Buscando las siete diferencias;(El clima y el tiempo meteorológico);<em>Buscando las siete diferencias</em>;(El clima y el tiempo meteorológico)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;Pequeñas piezas que encajan;(Los factores y elementos del clima);<em>Pequeñas piezas que encajan</em>;(Los factores y elementos del clima)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;Para todos los gustos;(Los climas de la Tierra);<em>Para todos los gustos</em>;(Los climas de la Tierra)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;¡Qué calor! ;(Los climas cálidos);<em>¡Qué calor! </em>;(Los climas cálidos)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;Ni blanco ni negro;(Los climas templados);<em>Ni blanco ni negro</em>;(Los climas templados)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;¡No te quites la chaqueta!;(Los climas fríos);<em>¡No te quites la chaqueta!</em>;(Los climas fríos)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;En casa;(Los climas de España);<em>En casa</em>;(Los climas de España)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Lista;;Sube, sube…;(El calentamiento global y el cambio climático);<em>Sube, sube…</em>;(El calentamiento global y el cambio climático)
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Enlace;http://www.rtve.es/alacarta/videos/tres14/tres14-clima/1242442/;Clima;, reportaje sobre cómo afecta el clima a la salud de las personas, en Tres14 de RTVE.;Clima;, reportaje sobre cómo afecta el clima a la salud de las personas, en Tres14 de RTVE.
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Enlace;https://www.youtube.com/watch?v=_Vw2_9nJt3Y&feature=youtu.be;¡Los climas de la Tierra y sus paisajes como nunca antes te los habían enseñado! ¡Viaja conmigo!;, vídeo sobre climas y paisajes, en La cuna de Halicarnaso.;¡Los climas de la Tierra y sus paisajes como nunca antes te los habían enseñado! ¡Viaja conmigo!;, vídeo sobre climas y paisajes, en La cuna de Halicarnaso.
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Enlace;https://www.geografiainfinita.com/2018/09/clima-de-espana;El clima a través de los mapas;, portal que tiene por objeto abordar el mundo desde el punto de vista de la geografía, en Geografía Infinita.;El clima a través de los mapas;, portal que tiene por objeto abordar el mundo desde el punto de vista de la geografía, en Geografía Infinita.
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Escoge tu camino;Inglés;https://www.youtube.com/watch?v=ZqiSiX8QD7o;¿Qué es el cambio climático?;, vídeo que ofrece una breve explicación sobre qué es el cambio climático y sus consecuencias, de National Geographic.;¿Qué es el cambio climático?;, vídeo que ofrece una breve explicación sobre qué es el cambio climático y sus consecuencias, de National Geographic.
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Ve más allá;Lista;;¡Vamos al taller!;;<em>¡Vamos al taller!</em>;
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Ve más allá;Lista;;Entre líneas;;<em>Entre líneas</em>;
Desafío: El clima: factores y elementos;CS_07_04_LM_Recurso420;131837;15153;GH_07_NX_LL;628775;137969;Meta;Título;;"¿Estás preparado?
¿Serás capaz de superar la última prueba?";;"¿Estás preparado?
¿Serás capaz de superar la última prueba?";
