Nombre recurso;LOID;ID;idGuion;identificadorUnidad;module_id;asset_id;Página;Tipo;Enlace;Texto principal - original;Texto adicional - original;Texto principal;Texto adicional
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;15148;MN_05_NX_LL;628383;136776;Escoge tu camino;Enlace;https://es.khanacademy.org/science/high-school-biology/hs-human-body-systems/hs-the-digestive-and-excretory-systems/a/hs-the-digestive-and-excretory-systems-review;Los sistemas digestivo y excretor;, repaso y términos clave en el sitio de Khan Academy.;Los sistemas digestivo y excretor;, repaso y términos clave en el sitio de Khan Academy.
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;15148;MN_05_NX_LL;628383;136776;Escoge tu camino;Enlace;https://intef.es/aprendemos_capitulos/58-la-digestion/;La digestión;, recurso didáctico sobre el proceso de la digestión, del proyecto cide@d, Ministerio de Educación, Cultura y Deporte.;La digestión;, recurso didáctico sobre el proceso de la digestión, del proyecto cide@d, Ministerio de Educación, Cultura y Deporte.
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;15148;MN_05_NX_LL;628383;136776;Escoge tu camino;Enlace;https://www.discapnet.es/salud/alimentacion-y-nutricion;Guía de alimentación y nutrición;, información sobre los alimentos, los nutrientes y cómo llevar una dieta equilibrada, de DISCAPNET-Fundación ONCE.;Guía de alimentación y nutrición;, información sobre los alimentos, los nutrientes y cómo llevar una dieta equilibrada, de DISCAPNET-Fundación ONCE.
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;15148;MN_05_NX_LL;628383;136776;Escoge tu camino;Inglés;https://kidshealth.org/en/kids/digestive-system.html;Your Digestive System;, información sobre el proceso que realizan los alimentos a través del aparato digestivo, de KidsHealth.;Your Digestive System;, información sobre el proceso que realizan los alimentos a través del aparato digestivo, de KidsHealth.
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;15148;MN_05_NX_LL;628383;136776;Ve más allá;Lista;;Un menú perfecto;;Un menú perfecto;
Desafío: El aparato digestivo y el aparato excretor;MN_3C_14_LM_Recurso270;132175;15148;MN_05_NX_LL;628383;136776;Meta;Título;;Antes de que te entre el hambre, ¿serás capaz de superar la última prueba?;;Antes de que te entre el hambre, ¿serás capaz de superar la última prueba?;
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Lista;;Las carreteras del aire ;(las vías respiratorias);Las carreteras del aire ;(las vías respiratorias)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Lista;;Las esponjas del aire ;(la anatomía y la función principal del pulmón);Las esponjas del aire ;(la anatomía y la función principal del pulmón)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Lista;;La estructura más pequeña que respira ;(la respiración celular);La estructura más pequeña que respira ;(la respiración celular)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Lista;;"Intercambios ligeros 
";(los movimientos respiratorios);"Intercambios ligeros 
";(los movimientos respiratorios)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Lista;;Equilibrados por dentro ;(las infecciones respiratorias);Equilibrados por dentro ;(las infecciones respiratorias)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Lista;;Aire puro ;(la calidad del aire y la salud);Aire puro ;(la calidad del aire y la salud)
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Enlace;https://www.visiblebody.com/es/learn/respiratory/5-functions-of-respiratory-system;Funciones principales del sistema respiratorio;, página de Visible Body con explicaciones y animaciones sobre los procesos básicos de respiración.;Funciones principales del sistema respiratorio;, página de Visible Body con explicaciones y animaciones sobre los procesos básicos de respiración.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Enlace;https://hnncbiol.blogspot.com/2008/01/respiracion-celular-clic-botn-derecho.html;La respiración celular;, información sobre la respiración celular y su proceso, del blog Ciencias biológicas y Educación para la salud.;La respiración celular;, información sobre la respiración celular y su proceso, del blog Ciencias biológicas y Educación para la salud.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Enlace;https://kidshealth.org/es/parents/lungs.html;Los pulmones y el sistema respiratorio;, información sobre los pulmones y el funcionamiento del aparato respiratorio, de Kids Health.;Los pulmones y el sistema respiratorio;, información sobre los pulmones y el funcionamiento del aparato respiratorio, de Kids Health.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Escoge tu camino;Inglés;https://kids.kiddle.co/Respiratory_system; Respiratory system facts for kids;, donde encontrarás información del proceso de respiración, en la enciclopedia Kiddle.; Respiratory system facts for kids;, donde encontrarás información del proceso de respiración, en la enciclopedia Kiddle.
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Ve más allá;Lista;;La respiración incontrolada;;La respiración incontrolada;
Desafío: El aparato respiratorio en el ser humano;MN_3C_15_LM_Recurso260;132178;15148;MN_05_NX_LL;628382;136757;Meta;Título;;Ahora que estás lleno de energía, ¿serás capaz de superar la última prueba?;;<strong>Ahora que estás lleno de energía, ¿serás capaz de superar la última prueba?</strong>;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;Elementos que definen un clima;;Elementos que definen un clima;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;La vida en climas extremos;;La vida en climas extremos;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;Instrumentos meteorológicos;;Instrumentos meteorológicos;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;Cómo realizar un climograma;;Cómo realizar un climograma;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;En qué zona climática vivo;;En qué zona climática vivo;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;La vida en las zonas climáticas frías, templadas o cálidas;;La vida en las zonas climáticas frías, templadas o cálidas;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;Qué elementos configuran el paisaje;;Qué elementos configuran el paisaje;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;El poder de la erosión;;El poder de la erosión;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;La transformación del paisaje por parte del ser humano;;La transformación del paisaje por parte del ser humano;
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Lista;;"Qué es el ""land art""";;"Qué es el ""land art""";
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Enlace;https://es.educaplay.com/recursos-educativos/608364-los_climas_del_mundo.html;Mapa interactivo ;sobre los climas del planeta.;Mapa interactivo ;sobre los climas del planeta.
Desafío: El clima y el paisaje;MS_3C_22_LM_Recurso960;130873;15156;MS_05_NX_LL;628907;138771;Escoge tu camino;Enlace;https://www.aemet.es/es/portada;AEMET;, portal para consultar la climatología y meteorología española, y visualizar videos sobre el tema.;AEMET;, portal para consultar la climatología y meteorología española, y visualizar videos sobre el tema.
