Nombre recurso;LOID;ID;Página;Tipo;Enlace;Texto principal;Texto adicional
Desafío: El reino animal;MN_3C_24_LM_Recurso410;130744;Escoge tu camino;Inglés;https://www.factmonster.com/dk/encyclopedia/science/animal-kingdom;Animal Kingdom;, información sobre el reino animal, la clasificación dentro del grupo a partir de ejemplos, en Fact Monster (en inglés).
Desafío: El reino animal;MN_3C_24_LM_Recurso410;130744;Ve más allá;Lista;;Los invertebrados del agua. ;
Desafío: El reino animal;MN_3C_24_LM_Recurso410;130744;Ve más allá;Lista;;El método científico;
Desafío: El reino animal;MN_3C_24_LM_Recurso410;130744;Meta;Título;;<strong>¿Serás capaz de superar la última prueba?</strong>;
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Lista;;No hay vida sin energía ;(La energía y su importancia en nuestra vida)
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Lista;;Energía, no hay solo una ;(Los tipos de energía)
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Lista;;Las fuentes de energía que nunca se agotan ;(Las fuentes de energía renovable)
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Lista;;La energía con las horas contadas ;(Las fuentes de energía no renovable)
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Lista;;Ecointeligencia ;(El consumo responsable de energía)
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Lista;;El malestar del planeta; (El efecto invernadero, el calentamiento global y el cambio climático)
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Enlace;https://descubrelaenergia.fundaciondescubre.es/;Descubre la energía;, portal con información sobre energía, tipos y consumo, de la Fundación Andaluza para la divulgación de la innovación y el conocimiento.
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Enlace;http://recursostic.educacion.es/newton/web/materiales_didacticos/energia/index.html;La energía ;, recurso interactivo sobre los tipos de energía, su transformación y las energías renovables y no renovables, del proyecto Newton, del Ministerio de Educación.
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Enlace;https://es.greenpeace.org/es/trabajamos-en/cambio-climatico/;El cambio climático;, información para frenar el cambio climático y sobre el uso de fuentes de energía no renovables y sus consecuencias, en el portal de Greenpeace.
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Escoge tu camino;Inglés;https://resourcewatch.org/data/explore/a86d906d-9862-4783-9e30-cdb68cd808b8;Global Power Plant Database;, mapa interactivo que muestra las centrales de energía eléctrica mundiales, en Resource Watch.
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Ve más allá;Lista;;De la naturaleza a tu casa;
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Ve más allá;Lista;;Los residuos no deseados;
Desafío: La energía;MN_3C_19_LM_Recurso300;130894;Meta;Título;;<strong>¡El viento nos ha traído hasta el final! ¿Serás capaz de superar la última prueba?</strong>;
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Lista;;La sangre, un transportista universal ;(Las funciones del aparato circulatorio)
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Lista;;Células, líquido, conductos y una bomba ;(Los componentes del aparato circulatorio)
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Lista;;El músculo incansable ;(El corazón)
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Lista;;Circulando por una enorme red de canales ;(La circulación de la sangre)
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Lista;;Cuando enferma la sangre o el corazón ;(Las enfermedades del aparato circulatorio)
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Lista;;Una vida sana para el corazón ;(Los hábitos saludables para el aparato circulatorio)
Desafío: El aparato circulatorio en el ser humano;MN_3C_16_LM_Recurso260;132247;Escoge tu camino;Lista;;Dar sangre es dar vida ;(La donación de sangre)
